,source,base,target,U,distance
0,LO-1,VO-1,VO-1_flipped,"[[ 0.74715103  0.6646543 ]
 [-0.6646543   0.74715103]]",0.7449389
1,LO-2,VO-1,VO-1,"[[ 0.5988554 -0.8008572]
 [ 0.8008572  0.5988554]]",0.808128
2,PHC-1,VO-1,VO-1,"[[-0.68899155 -0.72476935]
 [ 0.72476935 -0.68899155]]",0.5888614
3,PHC-2,VO-1,VO-1_flipped,"[[ 0.85219646 -0.52322194]
 [ 0.52322194  0.85219646]]",0.7301545
4,TO-1,VO-1,VO-1_flipped,"[[-0.64399133 -0.76503279]
 [ 0.76503279 -0.64399133]]",0.8449532
5,TO-2,VO-1,VO-1,"[[-0.62602067  0.7798064 ]
 [-0.7798064  -0.62602067]]",0.75044703
6,V1,VO-1,VO-1,"[[-0.9546826  -0.29762578]
 [ 0.29762578 -0.9546826 ]]",0.57772
7,V2,VO-1,VO-1,"[[ 0.23635045  0.9716679 ]
 [-0.9716679   0.23635045]]",0.69686174
8,V3,VO-1,VO-1,"[[-0.6324826  -0.77457464]
 [ 0.77457464 -0.6324826 ]]",0.48532158
9,VO-2,VO-1,VO-1,"[[-0.43945456  0.8982649 ]
 [-0.8982649  -0.43945456]]",0.63555753
10,hV4,VO-1,VO-1,"[[ 0.39360178  0.9192811 ]
 [-0.9192811   0.39360178]]",0.67736846
