,source,base,target,U,distance
0,LO-1,VO-1,VO-1,"[[-0.15957546 -0.9871857 ]
 [ 0.9871857  -0.15957546]]",0.6962943
1,LO-2,VO-1,VO-1_flipped,"[[ 0.25467464  0.9670268 ]
 [-0.9670268   0.25467464]]",0.7789671
2,PHC-1,VO-1,VO-1,"[[ 0.8134468 -0.5816393]
 [ 0.5816393  0.8134468]]",0.4995923
3,PHC-2,VO-1,VO-1,"[[ 0.4187729 -0.908091 ]
 [ 0.908091   0.4187729]]",0.6829455
4,TO-1,VO-1,VO-1,"[[ 0.7126599 -0.7015097]
 [ 0.7015097  0.7126599]]",0.78697
5,TO-2,VO-1,VO-1_flipped,"[[-0.22300024  0.97481839]
 [-0.97481839 -0.22300024]]",0.62039083
6,V1,VO-1,VO-1,"[[-0.11146368 -0.99376845]
 [ 0.99376845 -0.11146368]]",0.53865504
7,V2,VO-1,VO-1,"[[ 0.23711234 -0.9714823 ]
 [ 0.9714823   0.23711234]]",0.6503458
8,V3,VO-1,VO-1,"[[-0.05832054  0.9982979 ]
 [-0.9982979  -0.05832054]]",0.40973723
9,VO-2,VO-1,VO-1,"[[-0.8922802  -0.45148206]
 [ 0.45148206 -0.8922802 ]]",0.5647284
10,hV4,VO-1,VO-1,"[[ 0.72842175 -0.68512905]
 [ 0.68512905  0.72842175]]",0.62084556
